Name,Year,Rating,Verdict,Color,Intensity,Aroma,Sweetness,Acidity,Alcohol,Tannin,Balance,Finish,Aftertaste
"EQUINOX, Luchineasa",2020,90.7,nice,9.0,9.0,9.4,9.0,8.9,8.9,8.9,8.9,8.9,8.4
"BAHU WINERY, Sauvignon Blanc",2020,89.8,nice,9.4,9.4,9.3,8.9,8.3,8.2,8.2,8.2,8.2,8.2
"CRAMA BAUER, Feteasca Alba",2019,91.9,fine,9.6,9.6,9.5,9.1,9.1,9.1,9.0,9.0,9.0,8.9
"BOUCHIÉ-CHATELLIER, Argile à Silex, Pouilly-Fumé",2019,92.8,fine,9.7,9.6,9.5,9.2,9.2,9.2,9.2,9.1,9.1,9.0
"RASOVA, Nud",2020,92.0,fine,9.5,9.5,9.4,9.2,9.2,9.1,9.1,9.0,9.0,9.0
"EQUINOX, Luchineasa",2019,91.7,fine,9.6,9.6,9.5,9.3,9.2,9.0,8.9,8.9,8.9,8.8
"GALA, Pinot Noir – Merlot, Bergrus",2019,92.4,fine,9.6,9.5,9.5,9.3,9.2,9.1,9.1,9.1,9.1,8.9
"DOMENIILE FRANCO-ROMANE, Vigneron, Pinot Noir",2018,92.9,fine,9.7,9.5,9.6,9.5,9.3,9.3,9.2,9.2,9.1,9.0
"PELICAN NEGRU, Single Vineyard, Pinot Noir",2018,90.5,nice,9.0,9.4,9.3,9.2,9.1,8.3,8.2,8.9,8.3,8.7
"CRAMA BAUER, F.N.",2018,92.5,fine,9.7,9.6,9.4,9.3,9.2,9.2,9.1,9.1,9.0,8.9
"PRIPA, Saperavi",2018,91.7,fine,9.7,9.6,9.6,9.3,9.2,9.0,8.9,8.9,8.8,8.7
"EQUINOX, 5 Elemente",2018,92.4,fine,9.6,9.6,9.5,9.3,9.2,9.2,9.1,9.1,9.0,8.8
"DOMENIILE PRINCE MATEI, Rosu, Dealu Mare",2018,92.3,fine,9.6,9.6,9.5,9.3,9.2,9.1,9.1,9.0,9.0,8.9
"A.GERE, Cabernet Sauvignon",2018,92.6,fine,9.6,9.5,9.5,9.4,9.3,9.1,9.1,9.1,9.1,8.9
"SERVE, Cuvée Alexandru",2017,92.7,fine,9.6,9.6,9.5,9.5,9.4,9.3,9.2,9.1,9.1,9.1
"CHATEAU CRISTI, Merlot",2017,92.4,fine,9.6,9.6,9.5,9.3,9.2,9.1,9.1,9.1,9.0,8.9
"BALLA GÉZA, Stonewine, Blaufränkisch",2016,93.5,great,9.7,9.7,9.6,9.4,9.3,9.2,9.2,9.2,9.1,9.1
"CHATEAU VALVIS, Cabernet Sauvignon, Private Reserve",2016,93.4,great,9.7,9.6,9.6,9.5,9.4,9.2,9.2,9.1,9.1,9.0
"DOMENIILE PANCIU, Cuvée Prestige, Brut",2015,92.7,fine,9.7,9.7,9.6,9.2,9.2,9.1,9.1,9.1,9.0,9.0
"CARASTELEC, Vinca, Theresia, Rhein Riesling",2019,94.0,great,9.7,9.7,9.7,9.6,9.6,9.4,9.3,9.3,9.2,9.1
"DOMENIUL COROANEI, Principesa Margareta",2018,93.5,great,9.7,9.6,9.0,9.3,9.3,9.3,9.2,9.2,9.2,9.2
"CRAMA BAUER, Sauvignon Blanc",2018,92.3,fine,9.6,9.5,9.4,9.2,9.2,9.1,9.1,9.1,9.1,9.0
"EQUINOX, 5 Elemente",2020,92.2,fine,9.6,9.5,9.4,9.3,9.2,9.1,9.1,9.0,9.0,9.0
"VINARTE, Soare, Rose",2020,93.0,great,9.6,9.5,9.4,9.3,9.3,9.2,9.2,9.2,9.2,9.1
"THESAURUS, Amadoc, Pinot Noir",2018,91.7,fine,9.6,9.0,9.4,9.2,9.1,9.1,9.0,9.0,8.9,8.9
"NOVAK, Pinot Noir",2018,90.7,nice,9.0,9.4,9.4,9.1,9.1,8.9,8.2,8.8,8.9,8.3
"A.GERE, Portugieser",2018,92.0,fine,9.6,9.5,9.5,9.2,9.1,9.1,9.1,9.0,9.0,8.9
"EQUINOX, Shiraz",2018,93.1,great,9.6,9.6,9.6,9.6,9.4,9.4,9.2,9.2,9.1,9.0
"CRAMA BAUER, P.V.",2018,92.2,fine,9.7,9.6,9.5,9.3,9.1,9.1,9.0,9.0,9.0,8.9
"DOMENIUL COROANEI, Principesa Margareta",2017,92.5,fine,9.6,9.6,9.5,9.3,9.2,9.2,9.1,9.1,9.0,8.9
"TASCA, Sallier de la Tour, La Monaca, Syrah, Monreale",2017,92.3,fine,9.6,9.6,9.6,9.3,9.2,9.2,9.1,9.0,9.0,8.7
"BISQUERTT, La Joya, Single Vineyard, Cabernet Sauvignon",2017,92.5,fine,9.6,9.5,9.5,9.3,9.2,9.2,9.1,9.1,9.0,9.0
"CASA ISARESCU, Cabernet Sauvignon, Rezerva",2017,92.5,fine,9.6,9.6,9.5,9.4,9.3,9.2,9.2,9.0,8.9,8.8
"BALLA GÉZA, Stonewine, Cadarca",2017,92.5,fine,9.6,9.6,9.5,9.3,9.3,9.2,9.1,9.0,9.0,8.9
"RUTHERFORD HILL, Cabernet Sauvignon",2014,94.0,great,9.7,9.5,9.6,9.6,9.5,9.5,9.3,9.3,9.2,9.2
"CASA SILVA, 5th, Quinta Generacion",2012,94.0,great,9.7,9.5,9.6,9.5,9.4,9.2,9.3,9.3,9.3,9.3
"THE ICONIC ESTATE, Rhein Extra, Brut Natur, Vintage 2013",2013,92.5,fine,9.7,9.6,9.6,9.2,9.2,9.1,9.1,9.1,9.0,8.9
"BAHU WINERY, Sauvignon Blanc Fumé",2020,90.3,nice,9.5,9.4,9.5,8.8,8.9,8.7,8.8,8.8,9.1,8.8
"BUDUREASCA, Premium, Fumé",2019,92.8,fine,9.4,9.5,9.6,9.0,9.0,9.0,9.0,9.0,9.0,9.1
"CRAMA BAUER, Sauvignonasse",2018,91.7,fine,9.6,9.5,9.5,9.0,9.1,9.0,9.0,9.0,9.1,8.9
"VIA VITICOLA, Scentico, Chardonnay",2017,90.1,nice,9.5,9.5,9.4,8.8,8.8,8.8,8.8,8.8,8.9,8.8
"EQUINOX, 5 Elemente",2019,90.3,nice,9.7,9.5,9.3,8.8,8.8,8.9,8.7,8.8,9.1,8.7
"SERVE, Cuvée Sissi",2020,92.0,fine,9.6,9.5,9.6,9.0,9.1,9.0,9.0,9.0,9.1,9.1
"BODEGAS JUAN GIL, Llicorella, Bluegray, Red Blend, Priorat",2019,92.4,fine,9.5,9.5,9.6,9.1,9.0,9.0,9.4,9.1,9.0,9.0
"PURCARI, Feteasca Neagra de Purcari",2019,91.7,fine,9.3,9.5,9.5,9.1,9.0,9.0,9.0,9.0,9.3,9.0
"VIA VITICOLA, Épiphanie",2019,93.7,great,9.7,9.6,9.6,9.5,9.4,9.3,9.2,9.2,9.1,9.1
"FÁUTOR, Tempranillo",2018,91.3,fine,9.4,9.5,9.7,8.9,8.9,8.8,9.2,8.9,9.2,8.8
"ET CETERA, Carmenere",2018,90.7,nice,9.6,9.5,9.6,8.9,8.8,8.9,8.8,8.8,9.1,8.7
"SANTO WINES, Mavrotragano",2018,92.5,fine,9.4,9.5,9.6,9.0,9.1,9.1,9.3,9.1,9.3,8.9
"CRAMA BAUER, Cabernet Franc",2018,93.3,great,9.5,9.7,9.7,9.3,9.0,9.1,9.0,9.0,9.3,9.1
"CRAMA FERDI, Red King Rezerva",2018,92.8,fine,9.5,9.5,9.5,9.3,9.0,8.9,9.4,9.0,9.4,8.9
